TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
com.axios.cookie.ThreadLocalCookieStore,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.837890625,1024,858,1.0,111111111111,1.0,11111111111,0.18181818181818182,10000000010,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,111111111
com.axios.status.Status,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8341608738828202,1007,840,1.0,11111,1.0,1111111111,0.0,0000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,1
com.axios.Conn,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7789185489390829,1461,1138,0.847457627118644,111111111111111001111001110011110011111001111100111110011111001111111111111111111111111111111111111111111110011111111111011111111111111111111111111111111111111111000000001111111,0.888,11111111111111111111111111111111111111111111111100000000011111111111111111111111111010111111111111011111111111011110111111111,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,11111111111111111111111111111111111111111111111111111
com.axios.ajax.Ajax,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8378926038500507,987,827,0.5,10,1.0,1,0.0,0,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,0.5,01
com.axios.core.rfc.RFC3986,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8429423459244533,1006,848,1.0,1111111111,1.0,1111111,0.8571428571428571,1111110,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,1
com.axios.core.rfc.PercentCodec,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8310502283105022,1095,910,0.9615384615384616,1111111111111111111111111111111111110011111111111111,0.9615384615384616,11111111111111111111111110,0.038461538461538464,00010000000000000000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,1111111111
com.axios.core.tool.regular.RegularTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8336594911937377,1022,852,1.0,111111111111,1.0,1111111111111,0.0,0000000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,111
com.axios.core.tool.ssl.SSLTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8373015873015873,1008,844,1.0,111111111,1.0,1111111,0.0,0000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,1111
com.axios.core.tool.ssl.SSLContextBuilder,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8368725868725869,1036,867,1.0,11111111111111111111111,1.0,111111111111,0.0,000000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,11111111
com.axios.core.tool.file.FileTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7865168539325843,1246,980,0.719626168224299,11000111111111111111111111011000001111110111110000011111111110011111111111111100000011001111111111111010000,0.8714285714285714,1111110111111111111110001111101111111111111101001111111111111101111111,0.0,0000000000000000000000000000000000000000000000000000000000000000000000,0.8399592252803262,111111111111111111111111111001111110111111111111101101111111100000000001111111110001000001111111111101110111111111111111111111110111111110111100111111111111111101111111100001111111111011111111111111111111111111111110011100000011111111111111111111110110000010111100111001110011100000111111111111111111111111111001111111010111111001011011111101111111111111111101111111101111111101110111111111110111110111110111101111111111111110110110000001110111111111111111111111111111111111110011111111111111111101001111111101111011111111110111111111010111111111111111110111111011011101110111111111111111111111111111111101101111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011101001110111100000111111101111111111011111100110100111111111011111111111111101101110111001111011000111011111001111111111011111111111111111111101111101111100111111111111111101111010111110101111111111111111111111111,1.0,111111111111111111
